"NAICS","Illustrative Examples"
"32519","Synthetic sweeteners (i.e., sweetening agents) manufacturing"
"32519","Cyclic intermediates made from refined petroleum or natural gas"
"32519","Plasticizers (i.e., basic synthetic chemical) manufacturing"
"325199","Calcium organic compounds, not specified elsewhere by process, manufacturing"
"325199","Carbon organic compounds, not specified elsewhere by process, manufacturing"
"325199","Enzyme proteins (i.e., basic synthetic chemicals) (except pharmaceutical use) manufacturing"
"325199","Fatty acids (e.g., margaric, oleic, stearic) manufacturing"
"325199","Organo-inorganic compound manufacturing"
"325199","Silicone (except resins) manufacturing"
"325199","Synthetic sweeteners (i.e., sweetening agents) manufacturing"
"325199","Plasticizers (i.e., basic synthetic chemical) manufacturing"
"32599","Antifreeze preparations manufacturing"
"32599","Custom compounding (i.e., blending and mixing) of purchased plastics resins"
"32599","Industrial salt manufacturing"
"32599","Photographic chemicals manufacturing"
"32599","Pyrotechnics (e.g., flares, flashlight bombs, signals) manufacturing"
"32599","Swimming pool chemical preparations manufacturing"
"32599","Activated carbon and charcoal manufacturing"
"32599","Matches and matchbook manufacturing"
"32599","Sugar substitutes (i.e., synthetic sweeteners blended with other ingredients) made from purchased synthetic"
"32599","sweeteners"
"32599","Writing inks and fluids manufacturing"
"325998","Antifreeze preparations manufacturing"
"325998","Industrial salt manufacturing"
"325998","Lighter fluids (e.g., charcoal, cigarette) manufacturing"
"325998","Pyrotechnics (e.g., flares, flashlight bombs, signals) manufacturing"
"325998","Swimming pool chemical preparations manufacturing"
"325998","Writing inks manufacturing"
"325998","Activated carbon and charcoal manufacturing"
"325998","Matches and matchbook manufacturing"
"325998","Sugar substitutes (i.e., synthetic sweeteners blended with other ingredients) made from purchased synthetic"
"325998","sweeteners manufacturing"
"32619","Inflatable plastics swimming pool rafts and similar flotation devices manufacturing"
"32619","Plastics bowls and bowl covers manufacturing"
"32619","Plastics cups (except foam) manufacturing"
"32619","Plastics dinnerware (except foam) manufacturing"
"32619","Plastics gloves manufacturing"
"32619","Plastics hardware manufacturing"
"32619","Plastics or fiberglass plumbing fixtures (e.g., toilets, shower stalls, urinals) manufacturing"
"32619","Plastics siding manufacturing"
"32619","Plastics trash containers manufacturing"
"32619","Resilient floor coverings (e.g., sheet, tiles) manufacturing"
"326199","Inflatable plastics swimming pool rafts and similar flotation devices manufacturing"
"326199","Plastics air mattresses manufacturing"
"326199","Plastics bowls and bowl covers manufacturing"
"326199","Plastics clothes hangers manufacturing"
"326199","Plastics cups (except foam) manufacturing"
"326199","Plastics dinnerware (except foam) manufacturing"
"326199","Plastics gloves manufacturing"
"326199","Plastics hardware manufacturing"
"326199","Plastics siding manufacturing"
"326199","Plastics trash containers manufacturing"
"326199","Resilient floor covering manufacturing"
"32629","Latex foam rubber manufacturing"
"32629","Rubber bands manufacturing"
"32629","Rubber tubing manufacturing"
"32629","Birth control devices (e.g., diaphragms, prophylactics) manufacturing"
"32629","Mechanical rubber goods (i.e., molded, extruded, lathe-cut) manufacturing"
"32629","Reclaiming rubber from waste and scrap"
"32629","Rubber balloons manufacturing"
"32629","Rubber floor mats (e.g., door, bath) manufacturing"
"32629","Rubber hair care products (e.g., combs, curlers) manufacturing"
"326299","Birth control devices (i.e., diaphragms, prophylactics) manufacturing"
"326299","Latex foam rubber manufacturing"
"326299","Rubber bands manufacturing"
"326299","Rubber tubing manufacturing"
"326299","Reclaiming rubber from waste and scrap"
"326299","Rubber balloons manufacturing"
"326299","Rubber floor mats (e.g., door, bath) manufacturing"
"326299","Rubber hair care products (e.g., combs, curlers) manufacturing"
"327110","Bathroom accessories, vitreous china and earthenware, manufacturing"
"327110","Chemical stoneware (i.e., pottery products) manufacturing"
"327110","Clay and ceramic statuary manufacturing"
"327110","Earthenware table and kitchen articles, coarse, manufacturing"
"327110","Ceramic or ferrite permanent magnets manufacturing"
"327110","Porcelain electrical insulators manufacturing"
"327110","Vitreous china plumbing fixtures manufacturing"
"327910","Aluminum oxide (fused) abrasives manufacturing"
"327910","Buffing and polishing wheels, abrasive and nonabrasive, manufacturing"
"327910","Diamond dressing wheels manufacturing"
"327910","Sandpaper manufacturing"
"327910","Silicon carbide abrasives manufacturing"
"327910","Whetstones manufacturing"
"327999","Dry mix concrete manufacturing"
"327999","Mica products manufacturing"
"327999","Stucco and stucco products manufacturing"
"327999","Synthetic stones, for gem stones and industrial use, manufacturing"
"331318","Aluminum bar made by extruding purchased aluminum"
"331318","Nails, aluminum, made in wire drawing plants"
"331318","Rod made by extruding purchased aluminum"
"331318","Structural shapes made by rolling purchased aluminum"
"331318","Tube made by drawing or extruding purchased aluminum"
"331318","Wire, bare, made in aluminum wire drawing plants"
"332439","Light gauge metal bins manufacturing"
"332439","Light gauge metal drums manufacturing"
"332439","Light gauge metal garbage cans manufacturing"
"332439","Light gauge metal lunch boxes manufacturing"
"332439","Light gauge metal mailboxes manufacturing"
"332439","Light gauge metal tool boxes manufacturing"
"332439","Light gauge metal vats manufacturing"
"332439","Metal air cargo containers manufacturing"
"332439","Metal barrels manufacturing"
"332439","Vacuum bottles and jugs manufacturing"
"332618","Barbed wire made from purchased wire"
"332618","Chain link fencing and fence gates made from purchased wire"
"332618","Nails, brads, and staples made from purchased wire"
"332618","Paper clips made from purchased wire"
"332618","Metal baskets made from purchased wire"
"332618","Noninsulated wire cable made from purchased wire"
"332618","Woven wire cloth made from purchased wire"
"332911","Valves for nuclear applications manufacturing"
"332911","Complete fire hydrants manufacturing"
"332911","Industrial-type ball valves manufacturing"
"332911","Industrial-type butterfly valves manufacturing"
"332911","Industrial-type check valves manufacturing"
"332911","Industrial-type gate valves manufacturing"
"332911","Industrial-type globe valves manufacturing"
"332911","Industrial-type plug valves manufacturing"
"332911","Industrial-type solenoid valves (except fluid power) manufacturing"
"332911","Industrial-type steam traps manufacturing"
"332912","Fluid power aircraft subassemblies"
"332912","Hose assemblies for fluid power systems"
"332912","Hydraulic and pneumatic hose and tube fittings"
"332912","Hydraulic and pneumatic valves"
"332919","Aerosol valves manufacturing"
"332919","Water traps manufacturing"
"332919","Firefighting nozzles manufacturing"
"332919","Lawn hose nozzles manufacturing"
"332919","Lawn sprinklers manufacturing"
"332919","Metal hose couplings (except fluid power) manufacturing"
"332919","Metal pipe flanges and flange unions manufacturing"
"332919","Plumbing and heating in-line valves (e.g., check, cutoff, stop) manufacturing"
"33299","Industrial pattern manufacturing"
"33299","Steel wool manufacturing"
"33299","Ammunition manufacturing"
"33299","Ball and roller bearing manufacturing"
"33299","Enameled iron and metal sanitary ware manufacturing"
"33299","Fabricated pipe and pipe fittings made from purchased metal pipe"
"33299","Foil container (except bags) manufacturing"
"33299","Metal safes manufacturing"
"33299","Portable metal ladder manufacturing"
"33299","Small arms and other ordnance manufacturing"
"332999","Foil containers (except bags) manufacturing"
"332999","Industrial pattern manufacturing"
"332999","Steel wool manufacturing"
"332999","Metal hair curlers manufacturing"
"332999","Metal ironing boards manufacturing"
"332999","Metal pallets manufacturing"
"332999","Metal pipe hangers and supports manufacturing"
"332999","Metal safes manufacturing"
"332999","Metal vaults (except burial) manufacturing"
"332999","Permanent metallic magnets manufacturing"
"332999","Portable metal ladders manufacturing"
"332999","Sanitary ware (e.g., bathtubs, lavatories, sinks), metal and enameled metal, manufacturing"
"33311","Combines (i.e., harvester-threshers) manufacturing"
"33311","Cotton ginning machinery manufacturing"
"33311","Fertilizing machinery, farm-type, manufacturing"
"33311","Haying machines manufacturing"
"33311","Milking machines manufacturing"
"33311","Planting machines, farm-type, manufacturing"
"33311","Plows, farm-type, manufacturing"
"33311","Poultry brooders, feeders, and waterers manufacturing"
"33311","Snowblowers and throwers, residential-type, manufacturing"
"33311","Powered lawnmowers manufacturing"
"33311","Tractors and attachments, lawn and garden-type and farm-type, manufacturing"
"333111","Combines (i.e., harvester-threshers) manufacturing"
"333111","Cotton ginning machinery manufacturing"
"333111","Feed processing equipment, farm-type, manufacturing"
"333111","Fertilizing machinery, farm-type, manufacturing"
"333111","Haying machines manufacturing"
"333111","Milking machines manufacturing"
"333111","Planting machines, farm-type, manufacturing"
"333111","Plows, farm-type, manufacturing"
"333111","Poultry brooders, feeders, and waterers manufacturing"
"333111","Tractors and attachments, farm-type, manufacturing"
"333120","Backhoes manufacturing"
"333120","Bulldozers manufacturing"
"333120","Construction-type tractors and attachments manufacturing"
"333120","Off-highway trucks manufacturing"
"333120","Pile-driving equipment manufacturing"
"333120","Surface mining machinery (except drilling) manufacturing"
"333120","Construction and surface mining-type rock drill bits manufacturing"
"333120","Portable crushing, pulverizing, and screening machinery manufacturing"
"333120","Powered post hole diggers manufacturing"
"333120","Road graders manufacturing"
"33313","Coal breakers, cutters, and pulverizers manufacturing"
"33313","Core drills, underground mining-type, manufacturing"
"33313","Mineral processing and beneficiating machinery manufacturing"
"33313","Mining cars manufacturing"
"33313","Oil and gas field-type drilling machinery and equipment (except offshore floating platforms) manufacturing"
"33313","Water well drilling machinery manufacturing"
"33313","Oil and gas field-type derricks manufacturing"
"33313","Stationary rock crushing machinery manufacturing"
"333249","Chemical processing machinery and equipment manufacturing"
"333249","Cigarette making machinery manufacturing"
"333249","Glass making machinery (e.g., blowing, forming, molding) manufacturing"
"333249","Petroleum refining machinery manufacturing"
"333249","Plastics working machinery manufacturing"
"333249","Rubber working machinery manufacturing"
"333249","Sewing machines (including household-type) manufacturing"
"333249","Shoe making and repairing machinery manufacturing"
"333249","Tannery machinery manufacturing"
"333249","Textile making machinery manufacturing"
"333318","Calculators manufacturing"
"333318","Carnival and amusement park rides manufacturing"
"333318","Carwashing machinery manufacturing"
"333318","Laundry machinery and equipment (except household-type) manufacturing"
"333318","Power washer cleaning equipment manufacturing"
"333318","Teaching machines (e.g., flight simulators) manufacturing"
"333318","Vending machines manufacturing"
"333318","Water treatment equipment manufacturing"
"333318","Commercial-type coffee makers and urns manufacturing"
"333318","Commercial-type cooking equipment (i.e., fryers, microwave ovens, ovens, ranges) manufacturing Industrial and"
"333318","commercial-type vacuum cleaners manufacturing"
"333318","Mechanical carpet sweepers manufacturing"
"333318","Motor vehicle alignment equipment manufacturing"
"33341","Air-conditioning and warm air heating combination units manufacturing"
"33341","Attic fans manufacturing"
"33341","Dust and fume collecting equipment manufacturing"
"33341","Gas fireplaces manufacturing"
"33341","Space heaters (except portable electric) manufacturing"
"33341","Air-conditioner filters manufacturing"
"33341","Heating boilers manufacturing"
"33341","Industrial and commercial-type fans manufacturing"
"33341","Refrigerated counter and display cases manufacturing"
"33341","Refrigerated drinking fountains manufacturing"
"333415","Air-conditioning and warm air heating combination units manufacturing"
"333415","Air-conditioning compressors (except motor vehicle) manufacturing"
"333415","Air-conditioning condensers and condensing units manufacturing"
"333415","Dehumidifiers (except portable electric) manufacturing"
"333415","Heat pumps manufacturing"
"333415","Humidifying equipment (except portable) manufacturing"
"333415","Snow making machinery manufacturing"
"333415","Soda fountain cooling and dispensing equipment manufacturing"
"333415","Refrigerated counter and display cases manufacturing"
"333415","Refrigerated drinking fountains manufacturing"
"333515","Knives and bits for metalworking lathes, planers, and shapers manufacturing"
"333515","Measuring attachments (e.g., sine bars) for machine tool manufacturing"
"333515","Metalworking drill bits manufacturing"
"333515","Taps and dies (i.e., machine tool accessories) manufacturing"
"333517","Bending and forming machines, metalworking, manufacturing"
"333517","Buffing and polishing machines, metalworking, manufacturing"
"333517","Drilling machines, metalworking, manufacturing"
"333517","Grinding machines, metalworking, manufacturing"
"333517","Home workshop metal cutting machine tools (except handtools, welding equipment) manufacturing"
"333517","Metalworking lathes manufacturing"
"333517","Milling machines, metalworking, manufacturing"
"333517","Stamping machines, metalworking, manufacturing"
"333519","Assembly machines manufacturing"
"333519","Rolling mill roll machines, metalworking, manufacturing"
"333519","Cradle assemblies machinery (i.e., wire making equipment) manufacturing"
"333519","Metalworking coil winding and cutting machinery manufacturing"
"333519","Wire drawing and fabricating machinery and equipment (except dies) manufacturing"
"33361","Diesel and semidiesel engines manufacturing"
"33361","Electric outboard motors manufacturing"
"33361","Speed changers (i.e., power transmission equipment) manufacturing"
"33361","Speed reducers (i.e., power transmission equipment) manufacturing"
"33361","Turbine generator set units manufacturing"
"33361","Universal joints (except aircraft, motor vehicle) manufacturing"
"33361","Clutches and brakes (except electromagnetic industrial controls, motor vehicle) manufacturing"
"33361","Plain bearings (except internal combustion engine) manufacturing"
"33361","Plain bushings (except internal combustion engine) manufacturing"
"33361","Power transmission pulleys manufacturing"
"333921","Automobile lifts (i.e., garage-type, service station) manufacturing"
"333921","Escalators manufacturing"
"333921","Moving walkways manufacturing"
"333921","Passenger and freight elevators manufacturing"
"333923","Aerial work platforms manufacturing"
"333923","Automobile wrecker (i.e., tow truck) hoists manufacturing"
"333923","Block and tackle manufacturing"
"333923","Winches manufacturing"
"333923","Metal pulleys (except power transmission) manufacturing"
"33399","Bridge and gate lifting machinery manufacturing"
"33399","Fluid power cylinders manufacturing"
"33399","Fluid power pumps manufacturing"
"33399","Packaging machinery manufacturing"
"33399","Power-driven handtools manufacturing"
"33399","Welding equipment manufacturing"
"33399","Automatic fire sprinkler systems manufacturing"
"33399","Hydraulic and pneumatic jacks manufacturing"
"33399","Industrial-type furnaces manufacturing"
"33399","Scales manufacturing"
"333999","Baling machinery (e.g., paper, scrap metal) manufacturing"
"333999","Bridge and gate lifting machinery manufacturing"
"333999","Cremating ovens manufacturing"
"333999","Automatic fire sprinkler systems manufacturing"
"333999","Centrifuges, industrial- and laboratory-type, manufacturing"
"333999","General purpose-type sieves and screening equipment manufacturing"
"333999","Hydraulic and pneumatic jacks manufacturing"
"333999","Industrial and general line filters (except internal combustion engine, warm air furnace) manufacturing"
"334118","Automatic teller machines (ATM) manufacturing"
"334118","Computer terminals manufacturing"
"334118","Joystick devices manufacturing"
"334118","Keyboards, computer peripheral equipment, manufacturing"
"334118","Monitors, computer peripheral equipment, manufacturing"
"334118","Mouse devices, computer peripheral equipment, manufacturing"
"334118","Optical readers and scanners manufacturing"
"334118","Plotters, computer, manufacturing"
"334118","Printers, computer, manufacturing"
"334118","Point-of-sale terminals manufacturing"
"334290","Fire detection and alarm systems manufacturing"
"334290","Intercom systems and equipment manufacturing"
"334290","Signals (e.g., highway, pedestrian, railway, traffic) manufacturing"
"334419","Crystals and crystal assemblies, electronic, manufacturing"
"334419","Electron tubes manufacturing"
"334419","LCD (liquid crystal display) unit screens manufacturing"
"334419","Microwave components manufacturing"
"334419","Printed circuit laminates manufacturing"
"334419","Switches for electronic applications manufacturing"
"334419","Transducers (except pressure) manufacturing"
"334419","Piezolelectric devices manufacturing"
"334519","Aircraft engine instruments manufacturing"
"334519","Automotive emissions testing equipment manufacturing"
"334519","Clocks assembling"
"334519","Meteorological instruments manufacturing"
"334519","Physical properties testing and inspection equipment manufacturing"
"334519","Polygraph machines manufacturing"
"334519","Radiation detection and monitoring instruments manufacturing"
"334519","Surveying instruments manufacturing"
"334519","Watches and parts (except crystals) manufacturing"
"334519","Thermometers, liquid-in-glass and bimetal types (except medical), manufacturing"
"335121","Ceiling lighting fixtures, residential, manufacturing"
"335121","Chandeliers, residential, manufacturing"
"335121","Table lamps (i.e., lighting fixtures) manufacturing"
"335129","Christmas tree lighting sets, electric, manufacturing"
"335129","Fireplace logs, electric, manufacturing"
"335129","Flashlights manufacturing"
"335129","Insect lamps, electric, manufacturing"
"335129","Lanterns (e.g., carbide, electric, gas, gasoline, kerosene) manufacturing"
"335129","Spotlights (except vehicular) manufacturing"
"335129","Street lighting fixtures (except traffic signals) manufacturing"
"335210","Bath fans, residential, manufacturing"
"335210","Carpet and floor cleaning equipment, household-type electric, manufacturing"
"335210","Ceiling fans, residential, manufacturing"
"335210","Curling irons, household-type electric, manufacturing"
"335210","Electric blankets manufacturing"
"335210","Portable electric space heaters manufacturing"
"335210","Portable hair dryers, electric, manufacturing"
"335210","Portable humidifiers and dehumidifiers manufacturing"
"335210","Scissors, electric, manufacturing"
"335210","Portable cooking appliances (except microwave, convection ovens), household-type electric, manufacturing"
"335210","Ventilating and exhaust fans (except attic fans), household-type, manufacturing"
"335311","Distribution transformers, electric, manufacturing"
"335311","Fluorescent ballasts (i.e., transformers) manufacturing"
"335311","Substation transformers, electric power distribution, manufacturing"
"335311","Transmission and distribution voltage regulators manufacturing"
"335313","Circuit breakers, power, manufacturing"
"335313","Control panels, electric power distribution, manufacturing"
"335313","Power switching equipment manufacturing"
"335313","Duct for electrical switchboard apparatus manufacturing"
"335313","Fuses, electric, manufacturing"
"335313","Switches, electric power (except pushbutton, snap, solenoid, tumbler), manufacturing"
"335911","Lead acid storage batteries manufacturing"
"335911","Rechargeable nickel cadmium (NICAD) batteries manufacturing"
"335912","Disposable flashlight batteries manufacturing"
"335912","Dry cells, primary (e.g., AAA, AA, C, D, 9V), manufacturing"
"335912","Lithium batteries, primary, manufacturing"
"335912","Watch batteries manufacturing"
"335931","Bus bars, electrical conductors (except switchgear-type), manufacturing"
"335931","GFCI (ground fault circuit interrupters) manufacturing"
"335931","Lamp holders manufacturing"
"335931","Lightning arrestors and coils manufacturing"
"335931","Receptacles (i.e., outlets), electrical, manufacturing"
"335931","Switches for electrical wiring (e.g., pressure, pushbutton, snap, tumbler) manufacturing"
"335932","Boxes, electrical wiring (e.g., junction, outlet, switch), manufacturing"
"335932","Conduits and fittings, electrical, manufacturing"
"335932","Face plates (i.e., outlet or switch covers) manufacturing"
"335932","Transmission pole and line hardware manufacturing"
"33599","Extension cords made from purchased insulated wire"
"33599","Surge suppressors manufacturing"
"33599","Carbon and graphite electrodes and brushes manufacturing"
"335999","Appliance cords made from purchased insulated wire"
"335999","Battery chargers, solid-state, manufacturing"
"335999","Door opening and closing devices, electrical, manufacturing"
"335999","Electric bells manufacturing"
"335999","Extension cords made from purchased insulated wire"
"335999","Uninterruptible power supplies (UPS) manufacturing"
"335999","Inverters manufacturing"
"335999","Surge suppressers manufacturing"
"33621","Motor homes, self-contained, assembling on purchased chassis"
"33621","Pickup canopies, caps, or covers manufacturing"
"33621","Travel trailers, recreational, manufacturing"
"33621","Bodies and cabs, truck, manufacturing"
"33621","Camper unit, slide-in, for pick-up trucks, manufacturing"
"33621","Semitrailer manufacturing"
"336214","Automobile transporter trailers, single car, manufacturing"
"336214","Camping trailers and chassis manufacturing"
"336214","Travel trailers, recreational, manufacturing"
"336214","Utility trailers manufacturing"
"336214","Horse trailers (except fifth wheel type) manufacturing"
"336310","Carburetors, all types, manufacturing"
"336310","Crankshaft assemblies, automotive and truck gasoline engine, manufacturing"
"336310","Cylinder heads, automotive and truck gasoline engine, manufacturing"
"336310","Fuel injection systems and parts, automotive and truck gasoline engine, manufacturing"
"336310","Manifolds (i.e., intake and exhaust), automotive and truck gasoline engine, manufacturing"
"336310","Pistons and piston rings manufacturing"
"336310","Timing gears and chains, automotive and truck gasoline engine, manufacturing"
"336310","Valves, engine, intake and exhaust, manufacturing"
"336310","Pumps (e.g., fuel, oil, water), mechanical automotive and truck gasoline engine (except power steering),"
"336310","manufacturing"
"336320","Alternators and generators for internal combustion engines manufacturing"
"336320","Automotive lighting fixtures manufacturing"
"336320","Coils, ignition, internal combustion engines, manufacturing"
"336320","Distributors for internal combustion engines manufacturing"
"336320","Electrical ignition cable sets for internal combustion engines manufacturing"
"336320","Generators for internal combustion engines manufacturing"
"336320","Ignition wiring harness for internal combustion engines manufacturing"
"336320","Instrument control panels (i.e., assembling purchased gauges), automotive, truck, and bus, manufacturing"
"336320","Spark plugs for internal combustion engines manufacturing"
"336320","Windshield washer pumps, automotive, truck, and bus, manufacturing"
"336330","Rack and pinion steering assemblies manufacturing"
"336330","Shock absorbers, automotive, truck, and bus, manufacturing"
"336330","Steering columns, automotive, truck, and bus, manufacturing"
"336330","Steering wheels, automotive, truck, and bus, manufacturing"
"336330","Struts, automotive, truck, and bus, manufacturing"
"336340","Brake cylinders, master and wheel, automotive, truck, and bus, manufacturing"
"336340","Brake drums, automotive, truck, and bus, manufacturing"
"336340","Brake hose assemblies manufacturing"
"336340","Brake pads and shoes, automotive, truck, and bus, manufacturing"
"336340","Calipers, brake, automotive, truck, and bus, manufacturing"
"336350","Automatic transmissions, automotive, truck, and bus, manufacturing"
"336350","Axle bearings, automotive, truck, and bus, manufacturing"
"336350","Constant velocity joints, automotive, truck, and bus, manufacturing"
"336350","Differential and rear axle assemblies, automotive, truck, and bus, manufacturing"
"336350","Torque converters, automotive, truck, and bus, manufacturing"
"336350","Universal joints, automotive, truck, and bus, manufacturing"
"336390","Air bag assemblies manufacturing"
"336390","Air-conditioners, motor vehicle, manufacturing"
"336390","Catalytic converters, engine exhaust, automotive, truck, and bus, manufacturing"
"336390","Compressors, motor vehicle air-conditioning, manufacturing"
"336390","Radiators and cores manufacturing"
"336390","Wheels (i.e., rims), automotive, truck, and bus, manufacturing"
"336390","Air-filters, automotive, truck, and bus, manufacturing"
"336390","Mufflers and resonators, motor vehicle, manufacturing"
"33661","Barge building"
"33661","Boat yards (i.e., boat manufacturing facilities)"
"33661","Cargo ship building"
"33661","Drilling and production platforms, floating, oil and gas, building"
"33661","Inflatable plastic boats, heavy-duty, manufacturing"
"33661","Inflatable rubber boats, heavy-duty, manufacturing"
"33661","Passenger ship building"
"33661","Rigid inflatable boats (RIBs) manufacturing"
"33661","Rowboats manufacturing"
"336611","Barge building"
"336611","Cargo ship building"
"336611","Drilling and production platforms, floating, oil and gas, building"
"336611","Passenger ship building"
"336611","Submarine building"
"336612","Inflatable plastic boats, heavy-duty, manufacturing"
"336612","Inflatable rubber boats, heavy-duty, manufacturing"
"336612","Rigid inflatable boats (RIBs) manufacturing"
"336612","Rowboats manufacturing"
"336612","Sailboat building, not done in shipyards"
"336612","Yacht building, not done in shipyards"
"336612","Dinghy (except inflatable rubber) manufacturing"
"336612","Motorboats, inboard or outboard, building"
"336999","All-terrain vehicles (ATVs), wheeled or tracked, manufacturing"
"336999","Animal-drawn vehicles and parts manufacturing"
"336999","Gocarts (except children's) manufacturing"
"336999","Golf carts and similar motorized passenger carriers manufacturing"
"336999","Race cars manufacturing"
"336999","Snowmobiles and parts manufacturing"
"33999","Burial caskets and cases manufacturing"
"33999","Candles manufacturing"
"33999","Coin-operated amusement machines (except jukebox) manufacturing"
"33999","Gasket, packing, and sealing devices manufacturing"
"33999","Musical instruments (except toy) manufacturing"
"33999","Umbrellas manufacturing"
"33999","Artificial Christmas trees manufacturing"
"33999","Fasteners, buttons, needles, and pins (except precious metals or precious and semiprecious stones and gems)"
"33999","manufacturing"
"33999","Floor and dust mops manufacturing"
"33999","Portable fire extinguishers manufacturing"
"339999","Candles manufacturing"
"339999","Cigarette lighters (except precious metal) manufacturing"
"339999","Coin-operated amusement machines (except jukebox) manufacturing"
"339999","Potpourri manufacturing"
"339999","Tobacco pipes manufacturing"
"339999","Umbrellas manufacturing"
"339999","Artificial Christmas trees manufacturing"
"339999","Christmas tree ornaments (except glass and electric) manufacturing"
"339999","Hair pieces (e.g., wigs, toupees, wiglets) manufacturing"
"339999","Portable fire extinguishers manufacturing"
"423210","Household-type furniture merchant wholesalers"
"423210","Mattresses merchant wholesalers"
"423210","Office furniture merchant wholesalers"
"423210","Outdoor furniture merchant wholesalers"
"423210","Public building furniture merchant wholesalers"
"423210","Religious furniture merchant wholesalers"
"423220","Carpet merchant wholesalers"
"423220","Drapery merchant wholesalers"
"423220","Glassware merchant wholesalers"
"423220","Chinaware merchant wholesalers"
"423220","Household-type cooking utensil merchant wholesalers"
"423220","Curtain merchant wholesalers"
"423220","Lamp merchant wholesalers"
"423220","Linen (e.g., bath, bed, table) merchant wholesalers"
"423220","Floor covering merchant wholesalers"
"423220","Window blind and shade merchant wholesalers"
"423390","Flat glass merchant wholesalers"
"423390","Ornamental ironwork merchant wholesalers"
"423390","Plate glass merchant wholesalers"
"423390","Prefabricated buildings (except wood) merchant wholesalers"
"423390","Wire fencing and fencing accessories merchant wholesalers"
"423410","Photofinishing equipment merchant wholesalers"
"423410","Photographic film merchant wholesalers"
"423410","Television cameras merchant wholesalers"
"423410","Video cameras (except household-type) merchant wholesalers"
"423410","Photographic camera equipment and supplies merchant wholesalers"
"423420","Accounting machines merchant wholesalers"
"423420","Microfilm equipment and supplies merchant wholesalers"
"423420","Mailing machine merchant wholesalers"
"423420","Calculator and calculating machines merchant wholesalers"
"423420","Cash register merchant wholesalers"
"423420","Security safe merchant wholesalers"
"423420","Copying machine merchant wholesalers"
"423440","Balances and scales (except laboratory) merchant wholesalers"
"423440","Coin-operated merchandising machine merchant wholesalers"
"423440","Partitions merchant wholesalers"
"423440","Commercial shelving merchant wholesalers"
"423440","Electrical sign merchant wholesalers"
"423440","Commercial chinaware merchant wholesalers"
"423440","Commercial cooking equipment merchant wholesalers"
"423440","Store fixture (except refrigerated) merchant wholesalers"
"423450","Dental equipment and supplies merchant wholesalers"
"423450","Electromedical equipment merchant wholesalers"
"423450","Hospital beds merchant wholesalers"
"423450","Hospital furniture merchant wholesalers"
"423450","Medical dressings merchant wholesalers"
"423450","Patient monitoring equipment merchant wholesalers"
"423450","Prosthetic appliance and supplies merchant wholesalers"
"423450","Surgical instrument and apparatus merchant wholesalers"
"423450","Medical and dental X-ray machine merchant wholesalers"
"423460","Optometric equipment and supplies merchant wholesalers"
"423460","Sunglasses merchant wholesalers"
"423460","Binocular merchant wholesalers"
"423460","Ophthalmic frame merchant wholesalers"
"423460","Ophthalmic lenses merchant wholesalers"
"423490","School equipment and supplies (except books, furniture) merchant wholesalers"
"423490","Scientific instruments merchant wholesalers"
"423490","Surveying equipment and supplies merchant wholesalers"
"423490","Church supplies (except silverware, plated ware) merchant wholesalers"
"423490","Drafting tables and instruments merchant wholesalers"
"423490","Laboratory equipment (except medical, dental) merchant wholesalers"
"423510","Cast iron pipe merchant wholesalers"
"423510","Metal pipe merchant wholesalers"
"423510","Noninsulated wire merchant wholesalers"
"423510","Metal rod merchant wholesalers"
"423510","Metal bars (except precious) merchant wholesalers"
"423510","Metal sheet merchant wholesalers"
"423510","Metal ingots (except precious) merchant wholesalers"
"423510","Metal spike merchant wholesalers"
"423510","Nail merchant wholesalers"
"423510","Metal plate merchant wholesalers"
"423620","Curling irons, electric, merchant wholesalers"
"423620","Toothbrushes, electric, merchant wholesalers"
"423620","Household-type sewing machine merchant wholesalers"
"423620","Household-type radio (including automotive) merchant wholesalers"
"423620","Household-type video camera merchant wholesalers"
"423620","Household-type refrigerator merchant wholesalers"
"423620","Television set merchant wholesalers"
"423690","Blank diskette merchant wholesalers"
"423690","Broadcasting equipment merchant wholesalers"
"423690","Communications equipment merchant wholesalers"
"423690","Radar equipment merchant wholesalers"
"423690","Telegraph equipment merchant wholesalers"
"423690","Telephone equipment merchant wholesalers"
"423690","Unloaded computer board merchant wholesalers"
"423690","Blank audio or video tape merchant wholesalers"
"423690","Blank compact disc (CD) merchant wholesalers"
"423690","Blank digital video disc (DVD) merchant wholesalers"
"423710","Brads merchant wholesalers"
"423710","Cutlery merchant wholesalers"
"423710","Fasteners (e.g., bolts, nuts, rivets, screws) merchant wholesalers"
"423710","Knives (except disposable plastics) merchant wholesalers"
"423710","Staples merchant wholesalers"
"423710","Tacks merchant wholesalers"
"423710","Power handtools (e.g., drills, saws, sanders) merchant wholesalers"
"423710","Handtools (except motor vehicle, machinists' precision) merchant wholesalers"
"423730","Air pollution control equipment and supplies merchant wholesalers"
"423730","Air-conditioning equipment (except room units) merchant wholesalers"
"423730","Automotive air-conditioners merchant wholesalers"
"423730","Nonportable electric baseboard heaters merchant wholesalers"
"423730","Warm air central heating equipment merchant wholesalers"
"423740","Cold storage machinery merchant wholesalers"
"423740","Refrigerated display cases merchant wholesalers"
"423740","Commercial refrigerators merchant wholesalers"
"423740","Water coolers merchant wholesalers"
"423810","Excavating machinery and equipment merchant wholesalers"
